Year,Primary Enrollment,GDP
2001,,37133.623113437
2002,,37997.7596573051
2003,,39490.2749557007
2004,,41724.6316287624
2005,,44123.4070679055
2006,,46302.0008800056
2007,,48050.2237771135
2008,,48570.0459804586
2009,,47194.9433547336
2010,,48650.6431283336
2011,,50065.9665041742
2012,,51784.4185738837
2013,,53291.1276891406
2014,24538372.0,55123.8497869046
2015,24785698.0,56762.7294515989
2016,25019052.0,57866.7449341091
2017,25123678.0,59914.777796976
2018,24957956.0,62805.2537579917
2019,24786460.0,65094.7994287929
2020,,63027.6795267153
